District_Name,UnitName,FIR_YEAR,FIR_MONTH,FIR_Day,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,Place of Offence,Male,Female,Boy,Girl,VICTIM COUNT,Accused Count,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count
Mysuru City,Mysuru City Central PS,2022,3,7,Non Heinous,Dis/Acq,Typed,THEFT,Pickpocketing,16.069271,74.162386,IPC Section 335,G.H.KUPPI (PSI),"Near Main Market / Junction, Mysuru City",1,0,0,0,1,2,2,1,0
Uttara Kannada,Uttara Kannada Central PS,2021,4,3,Non Heinous,Pending Trial,Written,NARCOTICS,Ganja Seizure,12.722725,78.131311,IPC Section 369,A.K.NAIK (PI),"Near Main Market / Junction, Uttara Kannada",1,2,0,0,3,3,3,2,0
Davanagere,Davanagere Cyber Crime PS,2024,4,9,Heinous,Convicted,Online,MURDER,Dowry Murder,13.620344,78.093936,IPC Section 345,R S BIRADAR (PI),"Near Main Market / Junction, Davanagere",1,0,0,0,1,4,2,3,3
Kolar,Kolar Traffic PS,2021,10,25,Non Heinous,Convicted,Oral,RIOTS,Political Riots,13.581522,78.346184,IPC Section 438,A.K.NAIK (PI),"Near Main Market / Junction, Kolar",0,1,0,0,1,1,0,0,1
Uttara Kannada,Uttara Kannada Cyber Crime PS,2021,1,23,Non Heinous,Traced,Oral,NARCOTICS,Ganja Seizure,17.683563,76.3827,IPC Section 401,A.K.NAIK (PI),"Near Main Market / Junction, Uttara Kannada",0,1,0,0,1,2,0,2,0
K.G.F,K.G.F Central PS,2023,7,16,Heinous,BoundOver,Oral,MURDER,Murder for Gain,14.407413,74.604454,IPC Section 386,R S BIRADAR (PI),"Near Main Market / Junction, K.G.F",2,0,0,0,2,4,1,4,0
Belagavi City,Belagavi City Town PS,2025,4,12,Heinous,Dis/Acq,Written,KIDNAPPING,Abduction,16.747305,76.868363,IPC Section 331,R S BIRADAR (PI),"Near Main Market / Junction, Belagavi City",0,1,0,0,1,4,2,3,0
Mangaluru City,Mangaluru City Town PS,2023,2,16,Non Heinous,Convicted,Typed,ASSAULT,Assault on Public Servant,15.625747,77.709509,IPC Section 448,K.V.RAMESH (PI),"Near Main Market / Junction, Mangaluru City",3,0,0,0,3,1,1,1,1
Bidar,Bidar Rural PS,2023,8,14,Non Heinous,Pending Trial,Oral,RIOTS,Group Clash,12.932395,78.135288,IPC Section 302,K.V.RAMESH (PI),"Near Main Market / Junction, Bidar",1,0,0,0,1,4,0,3,0
Raichur,Raichur Cyber Crime PS,2021,12,1,Non Heinous,Dis/Acq,Oral,BURGLARY,Shop Burglary,12.508867,74.703994,IPC Section 366,K.V.RAMESH (PI),"Near Main Market / Junction, Raichur",1,1,1,0,2,3,0,1,0
Chitradurga,Chitradurga Cyber Crime PS,2023,1,7,Non Heinous,Traced,Typed,FRAUD,Financial Scam,13.312829,77.352671,IPC Section 443,R S BIRADAR (PI),"Near Main Market / Junction, Chitradurga",1,1,0,0,2,1,0,1,0
Mysuru City,Mysuru City Cyber Crime PS,2023,12,10,Non Heinous,Pending Trial,Typed,RIOTS,Student Riots,15.792526,77.947688,IPC Section 339,S.B.DEVAR (PSI),"Near Main Market / Junction, Mysuru City",1,0,0,0,1,3,1,2,0
Kodagu,Kodagu Traffic PS,2021,12,18,Non Heinous,Convicted,Written,RIOTS,Group Clash,15.614896,74.214774,IPC Section 332,K.V.RAMESH (PI),"Near Main Market / Junction, Kodagu",0,2,0,0,2,3,2,1,3
Chikkamagaluru,Chikkamagaluru Cyber Crime PS,2025,9,26,Non Heinous,Dis/Acq,Typed,CYBER CRIME,Phishing Scam,13.107701,76.141563,IPC Section 383,M.S.PATIL (PSI),"Near Main Market / Junction, Chikkamagaluru",0,1,1,0,1,2,1,0,0
Hassan,Hassan Traffic PS,2022,9,26,Non Heinous,UI,Typed,CYBER CRIME,Phishing Scam,14.685701,77.516501,IPC Section 409,M.S.PATIL (PSI),"Near Main Market / Junction, Hassan",1,0,0,0,1,1,1,1,0
Chickballapura,Chickballapura Town PS,2024,6,6,Non Heinous,Traced,Online,NARCOTICS,NDPS Possession,12.88514,78.455586,IPC Section 355,M.S.PATIL (PSI),"Near Main Market / Junction, Chickballapura",2,1,0,1,3,2,0,2,0
Chitradurga,Chitradurga Traffic PS,2024,1,13,Non Heinous,Pending Trial,Oral,FRAUD,Embezzlement,15.04705,75.664913,IPC Section 472,M.S.PATIL (PSI),"Near Main Market / Junction, Chitradurga",0,1,0,0,1,3,0,3,0
Belagavi Dist,Belagavi Dist Cyber Crime PS,2023,11,18,Non Heinous,Pending Trial,Oral,NARCOTICS,Drug Peddling,14.409593,78.377405,IPC Section 460,S.B.DEVAR (PSI),"Near Main Market / Junction, Belagavi Dist",1,1,0,0,2,4,3,3,0
Bengaluru City,Bengaluru City Central PS,2022,7,5,Heinous,Convicted,Online,MURDER,Murder for Gain,16.605433,74.573694,IPC Section 323,N.S.KUMAR (PSI),"Near Main Market / Junction, Bengaluru City",0,2,0,0,2,2,0,2,1
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2023,6,4,Heinous,UI,Online,POCSO,POCSO Assault,13.366517,74.524102,IPC Section 398,K.V.RAMESH (PI),"Near Main Market / Junction, Hubballi Dharwad City",2,1,0,0,3,2,2,2,0
Koppal,Koppal Traffic PS,2022,1,4,Non Heinous,Convicted,Oral,FRAUD,Financial Scam,16.746384,74.995948,IPC Section 349,M.S.PATIL (PSI),"Near Main Market / Junction, Koppal",1,1,0,1,2,3,2,3,2
Chikkamagaluru,Chikkamagaluru Town PS,2022,2,6,Non Heinous,Pending Trial,Online,NARCOTICS,NDPS Possession,11.948871,76.447173,IPC Section 318,M.S.PATIL (PSI),"Near Main Market / Junction, Chikkamagaluru",0,2,1,0,2,3,2,1,0
Chamarajanagar,Chamarajanagar Cyber Crime PS,2021,9,4,Non Heinous,Convicted,Online,CYBER CRIME,Phishing Scam,12.260559,76.239734,IPC Section 476,A.K.NAIK (PI),"Near Main Market / Junction, Chamarajanagar",2,1,0,1,3,4,0,3,4
Tumakuru,Tumakuru Central PS,2023,11,22,Non Heinous,Transfered,Oral,CYBER CRIME,UPI Fraud,11.994365,77.859623,IPC Section 383,A.K.NAIK (PI),"Near Main Market / Junction, Tumakuru",3,0,0,0,3,1,1,0,0
Udupi,Udupi Central PS,2022,6,8,Non Heinous,Convicted,Written,RIOTS,Student Riots,13.09599,75.374026,IPC Section 482,R S BIRADAR (PI),"Near Main Market / Junction, Udupi",0,3,0,0,3,4,3,0,4
Ballari,Ballari Traffic PS,2022,12,26,Non Heinous,Pending Trial,Online,CYBER CRIME,Social Media Harassment,12.737738,77.232578,IPC Section 422,K.V.RAMESH (PI),"Near Main Market / Junction, Ballari",2,0,0,1,2,1,0,1,0
Chitradurga,Chitradurga Cyber Crime PS,2022,2,28,Non Heinous,Compounded,Online,NARCOTICS,NDPS Possession,15.799867,75.919119,IPC Section 379,S.B.DEVAR (PSI),"Near Main Market / Junction, Chitradurga",0,2,1,0,2,1,1,0,0
Vijayanagara,Vijayanagara Rural PS,2023,12,12,Non Heinous,Pending Trial,Written,THEFT,Pickpocketing,15.525835,75.532225,IPC Section 330,N.S.KUMAR (PSI),"Near Main Market / Junction, Vijayanagara",0,1,0,0,1,2,0,0,0
Kodagu,Kodagu Central PS,2024,1,23,Non Heinous,Pending Trial,Online,NARCOTICS,Ganja Seizure,16.453186,75.597852,IPC Section 462,M.S.PATIL (PSI),"Near Main Market / Junction, Kodagu",1,0,0,0,1,2,1,2,0
Kalaburagi,Kalaburagi Cyber Crime PS,2021,7,4,Non Heinous,Traced,Online,FRAUD,Financial Scam,15.308316,77.407113,IPC Section 404,G.H.KUPPI (PSI),"Near Main Market / Junction, Kalaburagi",1,2,0,0,3,4,1,4,0
Raichur,Raichur Central PS,2024,12,1,Non Heinous,Convicted,Oral,FRAUD,Financial Scam,17.384774,75.227191,IPC Section 389,K.V.RAMESH (PI),"Near Main Market / Junction, Raichur",1,1,1,1,2,3,2,0,3
Dakshina Kannada,Dakshina Kannada Cyber Crime PS,2022,6,8,Non Heinous,Pending Trial,Online,ASSAULT,Grievous Hurt,16.948332,78.494924,IPC Section 460,R S BIRADAR (PI),"Near Main Market / Junction, Dakshina Kannada",0,1,1,0,1,1,1,1,0
Mandya,Mandya Traffic PS,2024,5,6,Heinous,Dis/Acq,Typed,POCSO,POCSO Assault,16.75218,76.274423,IPC Section 318,M.S.PATIL (PSI),"Near Main Market / Junction, Mandya",2,1,0,0,3,2,1,2,0
Bengaluru City,Bengaluru City Central PS,2025,8,8,Non Heinous,Traced,Written,FRAUD,Embezzlement,12.858229,74.302789,IPC Section 483,M.S.PATIL (PSI),"Near Main Market / Junction, Bengaluru City",1,2,0,0,3,4,3,4,0
Raichur,Raichur Rural PS,2022,3,2,Non Heinous,Convicted,Online,BURGLARY,House Breaking by Night,18.090525,77.232162,IPC Section 322,M.S.PATIL (PSI),"Near Main Market / Junction, Raichur",1,1,0,0,2,4,4,3,1
Mysuru City,Mysuru City Central PS,2022,2,11,Non Heinous,Convicted,Online,CYBER CRIME,Cyber Fraud,16.611162,74.357729,IPC Section 398,M.S.PATIL (PSI),"Near Main Market / Junction, Mysuru City",2,1,1,1,3,4,4,2,3
Mysuru Dist,Mysuru Dist Rural PS,2023,2,20,Heinous,Dis/Acq,Oral,KIDNAPPING,Kidnapping for Ransom,17.219949,74.762804,IPC Section 403,S.B.DEVAR (PSI),"Near Main Market / Junction, Mysuru Dist",2,1,0,1,3,1,0,1,0
Chickballapura,Chickballapura Rural PS,2022,10,14,Non Heinous,Traced,Typed,NARCOTICS,Ganja Seizure,16.094871,77.389164,IPC Section 343,R S BIRADAR (PI),"Near Main Market / Junction, Chickballapura",0,1,0,0,1,3,1,1,0
Kalaburagi City,Kalaburagi City Traffic PS,2021,7,4,Non Heinous,Convicted,Online,RIOTS,Communal Riots,14.90495,77.378423,IPC Section 337,K.V.RAMESH (PI),"Near Main Market / Junction, Kalaburagi City",0,1,0,0,1,1,0,0,1
Mandya,Mandya Town PS,2024,8,24,Non Heinous,Convicted,Written,NARCOTICS,Ganja Seizure,12.493105,75.656978,IPC Section 429,R S BIRADAR (PI),"Near Main Market / Junction, Mandya",0,3,0,0,3,4,0,1,3
Tumakuru,Tumakuru Town PS,2023,11,19,Non Heinous,Pending Trial,Oral,NARCOTICS,NDPS Possession,12.989608,74.450372,IPC Section 387,R S BIRADAR (PI),"Near Main Market / Junction, Tumakuru",1,1,1,0,2,3,2,3,0
Chitradurga,Chitradurga Rural PS,2024,2,25,Non Heinous,UI,Written,BURGLARY,House Breaking by Day,16.139382,77.210586,IPC Section 485,A.K.NAIK (PI),"Near Main Market / Junction, Chitradurga",0,1,0,0,1,2,0,1,0
Bengaluru Dist,Bengaluru Dist Traffic PS,2023,3,3,Non Heinous,BoundOver,Oral,THEFT,Motor Vehicle Theft,15.74027,75.338948,IPC Section 407,M.S.PATIL (PSI),"Near Main Market / Junction, Bengaluru Dist",3,0,0,0,3,3,3,0,0
Mangaluru City,Mangaluru City Town PS,2023,11,5,Non Heinous,Traced,Written,NARCOTICS,Ganja Seizure,17.729375,75.467083,IPC Section 336,A.K.NAIK (PI),"Near Main Market / Junction, Mangaluru City",0,1,0,0,1,4,3,1,0
Belagavi City,Belagavi City Central PS,2023,5,5,Non Heinous,Compounded,Online,ASSAULT,Assault on Public Servant,16.536015,75.241112,IPC Section 420,G.H.KUPPI (PSI),"Near Main Market / Junction, Belagavi City",1,1,0,0,2,1,0,1,0
Davanagere,Davanagere Cyber Crime PS,2022,11,28,Non Heinous,Pending Trial,Written,ASSAULT,Grievous Hurt,15.91945,74.765859,IPC Section 473,A.K.NAIK (PI),"Near Main Market / Junction, Davanagere",2,0,0,0,2,1,0,1,0
Chikkamagaluru,Chikkamagaluru Rural PS,2022,11,17,Non Heinous,Dis/Acq,Oral,RIOTS,Group Clash,14.780784,74.260543,IPC Section 373,N.S.KUMAR (PSI),"Near Main Market / Junction, Chikkamagaluru",2,0,0,0,2,4,2,0,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2023,4,8,Non Heinous,UI,Online,RIOTS,Student Riots,13.51997,74.163926,IPC Section 324,S.B.DEVAR (PSI),"Near Main Market / Junction, Hubballi Dharwad City",3,0,0,0,3,1,0,1,0
Uttara Kannada,Uttara Kannada Central PS,2022,7,11,Non Heinous,Convicted,Oral,CYBER CRIME,Social Media Harassment,15.586903,77.148645,IPC Section 343,N.S.KUMAR (PSI),"Near Main Market / Junction, Uttara Kannada",3,0,0,1,3,1,0,0,1
Bengaluru Dist,Bengaluru Dist Traffic PS,2025,11,25,Non Heinous,Convicted,Typed,BURGLARY,Shop Burglary,12.882574,75.798889,IPC Section 415,N.S.KUMAR (PSI),"Near Main Market / Junction, Bengaluru Dist",0,1,1,0,1,1,0,0,1
Coastal Security Police,Coastal Security Police Traffic PS,2024,1,21,Non Heinous,UI,Oral,CYBER CRIME,Phishing Scam,12.786462,76.86837,IPC Section 367,M.S.PATIL (PSI),"Near Main Market / Junction, Coastal Security Police",0,3,0,0,3,2,2,0,0
Tumakuru,Tumakuru Central PS,2023,3,12,Non Heinous,Compounded,Typed,CYBER CRIME,Identity Theft,12.172503,74.432881,IPC Section 306,K.V.RAMESH (PI),"Near Main Market / Junction, Tumakuru",0,1,0,0,1,1,1,1,0
Uttara Kannada,Uttara Kannada Rural PS,2024,5,6,Non Heinous,Pending Trial,Online,ASSAULT,Assault on Public Servant,14.969284,76.002489,IPC Section 342,G.H.KUPPI (PSI),"Near Main Market / Junction, Uttara Kannada",0,2,0,0,2,1,1,0,0
Bengaluru Dist,Bengaluru Dist Rural PS,2021,7,4,Non Heinous,Pending Trial,Typed,ASSAULT,Assault on Public Servant,14.919506,76.603095,IPC Section 398,A.K.NAIK (PI),"Near Main Market / Junction, Bengaluru Dist",3,0,0,1,3,2,2,1,0
Hubballi Dharwad City,Hubballi Dharwad City Traffic PS,2024,3,12,Non Heinous,Pending Trial,Typed,RIOTS,Group Clash,18.048178,75.052439,IPC Section 396,R S BIRADAR (PI),"Near Main Market / Junction, Hubballi Dharwad City",1,0,0,0,1,1,0,0,0
Ramanagara,Ramanagara Traffic PS,2023,4,12,Non Heinous,Pending Trial,Oral,BURGLARY,House Breaking by Night,12.558675,74.559042,IPC Section 313,S.B.DEVAR (PSI),"Near Main Market / Junction, Ramanagara",1,1,0,1,2,4,4,0,0
Mysuru City,Mysuru City Traffic PS,2025,5,19,Non Heinous,UI,Written,NARCOTICS,Ganja Seizure,13.657091,78.064222,IPC Section 470,K.V.RAMESH (PI),"Near Main Market / Junction, Mysuru City",1,1,1,0,2,2,0,1,0
Hubballi Dharwad City,Hubballi Dharwad City Central PS,2024,7,25,Non Heinous,Traced,Typed,NARCOTICS,NDPS Possession,13.108655,78.327276,IPC Section 313,R S BIRADAR (PI),"Near Main Market / Junction, Hubballi Dharwad City",0,1,0,0,1,1,1,1,0
Mangaluru City,Mangaluru City Town PS,2024,4,10,Non Heinous,Compounded,Typed,RIOTS,Student Riots,17.364229,76.885023,IPC Section 480,K.V.RAMESH (PI),"Near Main Market / Junction, Mangaluru City",1,0,0,1,1,2,1,1,0
Coastal Security Police,Coastal Security Police Cyber Crime PS,2023,4,15,Heinous,Transfered,Typed,MURDER,Murder due to Enmity,13.646024,76.918743,IPC Section 433,N.S.KUMAR (PSI),"Near Main Market / Junction, Coastal Security Police",0,1,0,0,1,1,1,1,0
Mysuru City,Mysuru City Traffic PS,2022,3,3,Non Heinous,Convicted,Written,ASSAULT,Assault on Women,13.971525,76.438783,IPC Section 303,N.S.KUMAR (PSI),"Near Main Market / Junction, Mysuru City",1,0,0,1,1,4,4,0,4
Chickballapura,Chickballapura Traffic PS,2024,4,10,Non Heinous,Pending Trial,Typed,ASSAULT,Grievous Hurt,16.899562,76.751798,IPC Section 414,M.S.PATIL (PSI),"Near Main Market / Junction, Chickballapura",2,0,0,0,2,4,2,4,0
Bengaluru Urban,Bengaluru Urban Cyber Crime PS,2025,10,12,Non Heinous,Convicted,Written,RIOTS,Political Riots,15.017506,76.413668,IPC Section 394,M.S.PATIL (PSI),"Near Main Market / Junction, Bengaluru Urban",1,0,0,0,1,3,0,3,2
K.G.F,K.G.F Traffic PS,2021,10,16,Non Heinous,Dis/Acq,Written,FRAUD,Embezzlement,16.898014,75.587313,IPC Section 371,K.V.RAMESH (PI),"Near Main Market / Junction, K.G.F",0,3,0,0,3,1,0,0,0
Chickballapura,Chickballapura Rural PS,2025,8,28,Non Heinous,Dis/Acq,Online,THEFT,Chain Snatching,12.370111,76.985252,IPC Section 408,R S BIRADAR (PI),"Near Main Market / Junction, Chickballapura",1,0,0,0,1,1,1,1,0
Ballari,Ballari Rural PS,2023,7,8,Non Heinous,Pending Trial,Online,RIOTS,Political Riots,16.084866,75.492075,IPC Section 315,G.H.KUPPI (PSI),"Near Main Market / Junction, Ballari",1,0,0,0,1,2,0,1,0
Chamarajanagar,Chamarajanagar Town PS,2022,12,21,Heinous,Transfered,Typed,MURDER,Attempt to Murder,12.384296,74.900873,IPC Section 455,M.S.PATIL (PSI),"Near Main Market / Junction, Chamarajanagar",1,1,1,0,2,2,1,1,0
Gadag,Gadag Rural PS,2023,10,14,Non Heinous,UI,Online,FRAUD,Cheating,12.692085,75.768788,IPC Section 462,G.H.KUPPI (PSI),"Near Main Market / Junction, Gadag",2,0,0,0,2,4,0,4,0
Chamarajanagar,Chamarajanagar Central PS,2022,11,6,Heinous,Convicted,Online,POCSO,Child Abuse,14.194542,74.401179,IPC Section 432,S.B.DEVAR (PSI),"Near Main Market / Junction, Chamarajanagar",0,3,1,0,3,1,1,0,1
Chamarajanagar,Chamarajanagar Rural PS,2022,6,16,Non Heinous,Pending Trial,Written,BURGLARY,House Breaking by Day,14.980674,78.277636,IPC Section 357,S.B.DEVAR (PSI),"Near Main Market / Junction, Chamarajanagar",0,3,0,0,3,2,0,2,0
Ramanagara,Ramanagara Rural PS,2023,12,23,Non Heinous,Pending Trial,Oral,CYBER CRIME,Cyber Fraud,15.6132,77.09786,IPC Section 362,R S BIRADAR (PI),"Near Main Market / Junction, Ramanagara",1,0,0,1,1,3,0,0,0
Coastal Security Police,Coastal Security Police Traffic PS,2023,2,9,Non Heinous,UI,Online,RIOTS,Group Clash,13.225071,75.596276,IPC Section 373,G.H.KUPPI (PSI),"Near Main Market / Junction, Coastal Security Police",0,2,0,0,2,2,0,0,0
Mysuru Dist,Mysuru Dist Cyber Crime PS,2024,3,5,Non Heinous,Compounded,Written,RIOTS,Group Clash,12.185514,75.183708,IPC Section 300,M.S.PATIL (PSI),"Near Main Market / Junction, Mysuru Dist",0,1,0,0,1,1,1,1,0
Bengaluru City,Bengaluru City Cyber Crime PS,2025,7,9,Heinous,Dis/Acq,Oral,POCSO,Child Abuse,17.195634,75.136603,IPC Section 344,A.K.NAIK (PI),"Near Main Market / Junction, Bengaluru City",0,1,0,0,1,3,3,0,0
Bengaluru Dist,Bengaluru Dist Central PS,2023,10,4,Heinous,Dis/Acq,Typed,KIDNAPPING,Kidnapping of Children,17.226202,76.798213,IPC Section 473,A.K.NAIK (PI),"Near Main Market / Junction, Bengaluru Dist",1,0,0,0,1,3,0,3,0
Chitradurga,Chitradurga Rural PS,2023,7,28,Non Heinous,UI,Written,CYBER CRIME,Social Media Harassment,13.731571,76.221303,IPC Section 368,G.H.KUPPI (PSI),"Near Main Market / Junction, Chitradurga",1,0,0,0,1,4,1,0,0
Mysuru Dist,Mysuru Dist Town PS,2021,1,9,Non Heinous,Convicted,Written,RIOTS,Group Clash,13.231273,78.283874,IPC Section 316,G.H.KUPPI (PSI),"Near Main Market / Junction, Mysuru Dist",1,0,0,0,1,4,0,2,3
Bengaluru Rural,Bengaluru Rural Traffic PS,2024,10,17,Non Heinous,Transfered,Written,CYBER CRIME,UPI Fraud,17.962093,77.018653,IPC Section 393,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Rural",1,1,0,1,2,3,0,0,0
Ballari,Ballari Central PS,2024,5,15,Heinous,BoundOver,Written,MURDER,Dowry Murder,15.25994,75.920142,IPC Section 415,S.B.DEVAR (PSI),"Near Main Market / Junction, Ballari",1,2,0,1,3,4,4,2,0
Koppal,Koppal Rural PS,2025,8,13,Non Heinous,Transfered,Typed,NARCOTICS,Drug Peddling,15.094291,75.362037,IPC Section 429,G.H.KUPPI (PSI),"Near Main Market / Junction, Koppal",3,0,0,0,3,4,4,0,0
Bengaluru Urban,Bengaluru Urban Rural PS,2024,1,21,Heinous,Traced,Online,POCSO,Child Abuse,14.50962,77.814157,IPC Section 366,K.V.RAMESH (PI),"Near Main Market / Junction, Bengaluru Urban",1,1,0,0,2,4,3,4,0
Davanagere,Davanagere Traffic PS,2024,9,21,Non Heinous,Pending Trial,Oral,ASSAULT,Grievous Hurt,15.187188,76.859302,IPC Section 448,N.S.KUMAR (PSI),"Near Main Market / Junction, Davanagere",0,3,0,0,3,1,1,1,0
Belagavi Dist,Belagavi Dist Cyber Crime PS,2021,9,7,Non Heinous,UI,Typed,ASSAULT,Assault on Public Servant,15.824018,77.761731,IPC Section 367,K.V.RAMESH (PI),"Near Main Market / Junction, Belagavi Dist",0,1,0,0,1,3,0,0,0
Chamarajanagar,Chamarajanagar Rural PS,2023,11,7,Non Heinous,UI,Written,THEFT,Pickpocketing,13.07925,75.581236,IPC Section 342,G.H.KUPPI (PSI),"Near Main Market / Junction, Chamarajanagar",1,0,0,0,1,4,1,1,0
Uttara Kannada,Uttara Kannada Cyber Crime PS,2024,9,24,Non Heinous,Convicted,Oral,CYBER CRIME,Identity Theft,11.811899,78.060287,IPC Section 320,R S BIRADAR (PI),"Near Main Market / Junction, Uttara Kannada",1,0,0,0,1,2,2,0,2
Vijayanagara,Vijayanagara Town PS,2023,1,13,Heinous,UI,Online,POCSO,Child Abuse,15.054513,74.938442,IPC Section 430,A.K.NAIK (PI),"Near Main Market / Junction, Vijayanagara",2,1,0,0,3,3,3,0,0
Mangaluru City,Mangaluru City Cyber Crime PS,2022,10,27,Non Heinous,Pending Trial,Typed,THEFT,Chain Snatching,17.607282,77.002911,IPC Section 472,M.S.PATIL (PSI),"Near Main Market / Junction, Mangaluru City",1,0,0,0,1,3,2,2,0
Bengaluru Dist,Bengaluru Dist Rural PS,2021,2,28,Non Heinous,Pending Trial,Online,ASSAULT,Grievous Hurt,14.091102,74.655785,IPC Section 434,R S BIRADAR (PI),"Near Main Market / Junction, Bengaluru Dist",1,0,0,0,1,1,0,0,0
Mysuru Dist,Mysuru Dist Traffic PS,2023,3,16,Heinous,BoundOver,Typed,MURDER,Dowry Murder,15.227303,77.271322,IPC Section 418,G.H.KUPPI (PSI),"Near Main Market / Junction, Mysuru Dist",2,1,1,0,3,2,2,0,0
Chickballapura,Chickballapura Central PS,2021,1,10,Heinous,Pending Trial,Online,MURDER,Murder due to Enmity,13.894017,77.914476,IPC Section 362,M.S.PATIL (PSI),"Near Main Market / Junction, Chickballapura",2,0,0,0,2,2,1,0,0
Coastal Security Police,Coastal Security Police Traffic PS,2024,8,9,Heinous,Convicted,Written,POCSO,POCSO Assault,15.10863,76.303349,IPC Section 305,S.B.DEVAR (PSI),"Near Main Market / Junction, Coastal Security Police",2,1,1,0,3,3,0,1,1
Ramanagara,Ramanagara Traffic PS,2024,11,6,Non Heinous,Traced,Written,BURGLARY,House Breaking by Night,18.044466,76.79843,IPC Section 327,A.K.NAIK (PI),"Near Main Market / Junction, Ramanagara",1,1,0,0,2,1,0,0,0
Kolar,Kolar Cyber Crime PS,2023,4,10,Non Heinous,Pending Trial,Oral,ASSAULT,Assault on Public Servant,16.258008,76.229298,IPC Section 346,G.H.KUPPI (PSI),"Near Main Market / Junction, Kolar",0,1,0,0,1,4,2,2,0
Koppal,Koppal Central PS,2024,4,5,Non Heinous,Convicted,Written,BURGLARY,House Breaking by Night,15.996567,78.116056,IPC Section 474,N.S.KUMAR (PSI),"Near Main Market / Junction, Koppal",3,0,0,0,3,1,1,0,1
Bagalkot,Bagalkot Traffic PS,2024,10,26,Non Heinous,Dis/Acq,Written,RIOTS,Communal Riots,12.828988,77.106021,IPC Section 433,R S BIRADAR (PI),"Near Main Market / Junction, Bagalkot",0,1,0,0,1,3,0,3,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2022,12,28,Non Heinous,Traced,Typed,THEFT,Pickpocketing,12.724461,75.781676,IPC Section 498,N.S.KUMAR (PSI),"Near Main Market / Junction, Hubballi Dharwad City",0,1,0,0,1,4,3,0,0
Davanagere,Davanagere Central PS,2021,4,3,Non Heinous,Convicted,Written,CYBER CRIME,Identity Theft,16.43997,74.961405,IPC Section 423,S.B.DEVAR (PSI),"Near Main Market / Junction, Davanagere",0,1,0,0,1,3,1,3,1
Raichur,Raichur Town PS,2024,12,2,Non Heinous,UI,Typed,ASSAULT,Assault on Public Servant,14.850965,77.425463,IPC Section 492,M.S.PATIL (PSI),"Near Main Market / Junction, Raichur",0,1,1,0,1,1,1,0,0
Haveri,Haveri Town PS,2022,7,23,Non Heinous,Pending Trial,Written,RIOTS,Student Riots,16.431002,75.675572,IPC Section 469,M.S.PATIL (PSI),"Near Main Market / Junction, Haveri",2,0,0,0,2,1,1,0,0
Yadgir,Yadgir Town PS,2023,3,2,Non Heinous,Transfered,Oral,FRAUD,Financial Scam,14.183535,74.8689,IPC Section 325,S.B.DEVAR (PSI),"Near Main Market / Junction, Yadgir",0,1,0,0,1,2,1,2,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2023,5,24,Heinous,Compounded,Oral,MURDER,Murder for Gain,13.672919,74.490742,IPC Section 463,M.S.PATIL (PSI),"Near Main Market / Junction, Hubballi Dharwad City",0,1,0,0,1,2,1,0,0
Kalaburagi City,Kalaburagi City Central PS,2025,3,26,Heinous,Pending Trial,Typed,POCSO,POCSO Assault,15.524017,76.26357,IPC Section 304,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi City",1,0,0,0,1,3,1,0,0
Ballari,Ballari Town PS,2023,8,17,Heinous,Convicted,Online,KIDNAPPING,Kidnapping for Ransom,13.306159,74.472471,IPC Section 362,S.B.DEVAR (PSI),"Near Main Market / Junction, Ballari",1,0,0,0,1,1,0,0,1
Kalaburagi,Kalaburagi Rural PS,2024,2,25,Non Heinous,UI,Written,CYBER CRIME,Phishing Scam,15.76014,75.239841,IPC Section 340,M.S.PATIL (PSI),"Near Main Market / Junction, Kalaburagi",1,1,0,0,2,2,2,0,0
Bengaluru Dist,Bengaluru Dist Town PS,2023,11,18,Non Heinous,BoundOver,Online,RIOTS,Student Riots,12.308083,76.439673,IPC Section 429,M.S.PATIL (PSI),"Near Main Market / Junction, Bengaluru Dist",2,0,0,0,2,1,1,1,0
Chitradurga,Chitradurga Traffic PS,2022,12,21,Non Heinous,Traced,Oral,FRAUD,Embezzlement,13.01209,77.396792,IPC Section 410,M.S.PATIL (PSI),"Near Main Market / Junction, Chitradurga",1,2,0,0,3,2,1,1,0
Mangaluru City,Mangaluru City Rural PS,2023,7,12,Non Heinous,Transfered,Oral,NARCOTICS,Drug Peddling,16.591117,75.036776,IPC Section 318,R S BIRADAR (PI),"Near Main Market / Junction, Mangaluru City",1,2,0,1,3,4,0,0,0
Davanagere,Davanagere Rural PS,2024,9,27,Non Heinous,Pending Trial,Typed,CYBER CRIME,UPI Fraud,17.80508,77.062834,IPC Section 331,S.B.DEVAR (PSI),"Near Main Market / Junction, Davanagere",1,0,0,0,1,3,3,1,0
